Game Name,Expansion to,Number of Players,Sleeved,Amazon Link,Boardgamegeek Link
Boss Monster: The Dungeon Building Card Game,,2-4,1,https://www.amazon.com/Boss-Monster-Dungeon-Building-Card/dp/B00DK3P856/,https://boardgamegeek.com/boardgame/131835/boss-monster-dungeon-building-card-game
Danger Suit,,2-6,0,,https://boardgamegeek.com/boardgame/213974/danger-suit
Deception: Murder in Hong Kong,,4-12,1,https://www.amazon.com/Deception-Murder-in-Hong-Kong/dp/B019FPQZNG/,https://boardgamegeek.com/boardgame/156129/deception-murder-hong-kong
Flash Point Fire Rescue,,2-6,1,https://www.amazon.com/Flash-Point-Fire-Rescue-2nd/dp/B0084M8UEE/,https://boardgamegeek.com/boardgame/100901/flash-point-fire-rescue
Forbidden Island,,2-4,1,https://www.amazon.com/Gamewright-317-Forbidden-Island/dp/B003D7F4YY/,https://boardgamegeek.com/boardgame/65244/forbidden-island
Harry Potter: Hogwarts Battle,,2-4,1,https://www.amazon.com/Potter-Hogwarts-Battle-Cooperative-Building/dp/B01EIKRP0K/,https://boardgamegeek.com/boardgame/199042/harry-potter-hogwarts-battle
Joking Hazard,,3-10,1,https://www.amazon.com/Joking-Hazard-JHUS0000/dp/B01IA9R2TY/,https://boardgamegeek.com/boardgame/193621/joking-hazard
Joking Hazard: Blast From the Past,Joking Hazard,,1,,https://boardgamegeek.com/boardgameexpansion/211184/joking-hazard-blast-past
Joking Hazard: Deck Enhancement #1,Joking Hazard,,1,https://www.amazon.com/Joking-Hazard-Deck-Enhancement-1/dp/B01MZ8P4D6,
Love Letter: Batman Edition,,2-4,1,https://www.amazon.com/Love-Letter-Batman-Boxed-Card/dp/B00SPXW408/,https://boardgamegeek.com/boardgame/168584/love-letter-batman
Minecraft card game?,,2-4,0,https://www.amazon.com/Mattel-DJY41-Minecraft-Card-Game/dp/B0119J9VMI/,https://boardgamegeek.com/boardgame/186265/minecraft-card-game
Mystic Vale,,2-4,1,https://www.amazon.com/AEG-5861AEG-Mystic-Vale-Card/dp/B01DMZR1QU/,https://boardgamegeek.com/boardgame/194607/mystic-vale
Nuclear War,,2-8,0,https://www.amazon.com/Nuclear-Card-Game-50th-Anniversary/dp/B01DNBOLD4/,https://boardgamegeek.com/boardgame/713/nuclear-war
Pixel Tactics,,2,1,https://www.amazon.com/Level-99-Games-L99-PT001-Tactics/dp/1936920131/,https://boardgamegeek.com/boardgame/125548/pixel-tactics
Secret Hitler,,5-10,1,https://www.amazon.com/Secret-Hitler/dp/B01JKD4HYC/,https://boardgamegeek.com/boardgame/188834/secret-hitler
Shoot Cows,,2-6,1,https://www.amazon.com/Milton-Roe-Creative-SHOOT-COWS/dp/B01EJYXXY2/,https://boardgamegeek.com/boardgame/150682/shoot-cows
Shoot Cows 2: Swine Fu,Shoot Cows,,1,https://www.amazon.com/SHOOT-COWS-2-SWINE-FU/dp/B01EK21XLI/,https://boardgamegeek.com/boardgameexpansion/207200/shoot-cows-2-swine-fu
The Grizzled,,2-5,1,https://www.amazon.com/The-Grizzled-Cooperative-Card-Game/dp/B013PZYV3S/,https://boardgamegeek.com/boardgame/171668/grizzled
The Ravens of Thri Sahashri,,2-4,1,https://www.amazon.com/Ravens-Thri-Sahashri-cooperative-players/dp/147281634X/,https://boardgamegeek.com/boardgame/150293/ravens-thri-sahashri
